,0
2026-04-09,441554.1702304607
2026-04-10,440409.77544364583
2026-04-11,440822.0828395797
2026-04-12,440486.27611834096
2026-04-13,442871.70569288667
2026-04-14,442956.65828418115
2026-04-15,443407.16903588787
2026-04-16,443322.1132481619
2026-04-17,442257.2836483857
2026-04-18,442580.8132440808
2026-04-19,442277.66099195514
2026-04-20,444658.09984075004
2026-04-21,445097.8172809172
2026-04-22,445475.24903999775
2026-04-23,445482.569948547
2026-04-24,444447.5867348218
2026-04-25,444734.44183878455
2026-04-26,444415.23314271285
2026-04-27,446725.15206750523
2026-04-28,446783.57286661066
2026-04-29,447157.92633772036
2026-04-30,447160.90713434643
2026-05-01,446115.38603428204
2026-05-02,446398.8413857651
2026-05-03,446080.27801146527
2026-05-04,448406.89232795633
2026-05-05,448482.6662003394
2026-05-06,448857.56115533295
2026-05-07,448861.7022700233
2026-05-08,447815.62869073835
2026-05-09,448098.0465314242
2026-05-10,447777.47618282965
2026-05-11,450107.50974976027
2026-05-12,450163.158398931
2026-05-13,450539.4241386203
2026-05-14,450543.83866992564
2026-05-15,449493.2765854565
2026-05-16,449776.5217703705
2026-05-17,449454.8530874615
2026-05-18,451794.2177224857
2026-05-19,451851.02577256743
2026-05-20,452228.6933158617
2026-05-21,452233.1188557634
2026-05-22,451178.8326822133
2026-05-23,451463.02439396264
2026-05-24,451140.1058953391
2026-05-25,453487.9263220353
2026-05-26,453543.837500065
2026-05-27,453922.92000670417
2026-05-28,453927.38490593067
2026-05-29,452869.1136718887
2026-05-30,453154.35801673186
2026-05-31,452830.23551044875
2026-06-01,455186.88829711266
2026-06-02,455243.06420008093
2026-06-03,455623.5669609944
2026-06-04,455628.04704107926
2026-06-05,454565.82326899
2026-06-06,454852.1300177711
2026-06-07,454526.79075742536
