date,gold_rate_usd,gold_rate,exchange_rate,inflation_rate,policy_repo_rate,closing_price
2019-04-08 00:00:00,1297.10,89707.44,69.16,2.99,6,11604.50
2019-04-09 00:00:00,1303.50,90661.68,69.55,2.99,6,11671.95
2019-04-10 00:00:00,1309.10,90670.62,69.26,2.99,6,11584.30
2019-04-11 00:00:00,1288.60,89094.06,69.14,2.99,6,11596.70
2019-04-12 00:00:00,1290.60,89606.36,69.43,2.99,6,11643.45
2019-04-13 00:00:00,1290.60,89606.36,69.43,2.99,6,11643.45
2019-04-14 00:00:00,1290.60,89606.36,69.43,2.99,6,11643.45
2019-04-15 00:00:00,1286.80,88996.38,69.16,2.99,6,11690.35
2019-04-16 00:00:00,1272.60,88840.20,69.81,2.99,6,11787.15
2019-04-17 00:00:00,1272.20,88907.70,69.89,2.99,6,11787.15
2019-04-18 00:00:00,1271.90,88271.13,69.40,2.99,6,11752.80
2019-04-19 00:00:00,1271.90,88245.69,69.38,2.99,6,11752.80
2019-04-20 00:00:00,1271.90,88245.69,69.38,2.99,6,11752.80
2019-04-21 00:00:00,1271.90,88245.69,69.38,2.99,6,11752.80
2019-04-22 00:00:00,1273.50,88329.96,69.36,2.99,6,11594.45
2019-04-23 00:00:00,1269.30,88930.33,70.06,2.99,6,11575.95
2019-04-24 00:00:00,1275.50,88976.33,69.76,2.99,6,11726.15
2019-04-25 00:00:00,1275.80,89428.23,70.10,2.99,6,11641.80
2019-04-26 00:00:00,1284.90,90148.59,70.16,2.99,6,11754.65
2019-04-27 00:00:00,1284.90,90148.59,70.16,2.99,6,11754.65
2019-04-28 00:00:00,1284.90,90148.59,70.16,2.99,6,11754.65
2019-04-29 00:00:00,1278.60,89299.98,69.84,2.99,6,11754.65
2019-04-30 00:00:00,1282.80,89554.58,69.81,2.99,6,11748.15
2019-05-01 00:00:00,1281.40,89129.06,69.56,3.05,6,11748.15
2019-05-02 00:00:00,1269.70,88412.89,69.63,3.05,6,11724.75
2019-05-03 00:00:00,1279.20,88807.69,69.42,3.05,6,11712.25
2019-05-04 00:00:00,1279.20,88807.69,69.42,3.05,6,11712.25
2019-05-05 00:00:00,1279.20,88807.69,69.42,3.05,6,11712.25
2019-05-06 00:00:00,1281.70,88652.62,69.17,3.05,6,11598.25
2019-05-07 00:00:00,1283.50,89075.28,69.40,3.05,6,11497.90
2019-05-08 00:00:00,1279.40,89442.86,69.91,3.05,6,11359.45
2019-05-09 00:00:00,1283.50,89857.84,70.01,3.05,6,11301.80
2019-05-10 00:00:00,1285.70,90526.14,70.41,3.05,6,11278.90
2019-05-11 00:00:00,1285.70,90526.14,70.41,3.05,6,11278.90
2019-05-12 00:00:00,1285.70,90526.14,70.41,3.05,6,11278.90
2019-05-13 00:00:00,1300.10,90906.24,69.92,3.05,6,11148.20
2019-05-14 00:00:00,1294.70,91427.82,70.62,3.05,6,11222.05
2019-05-15 00:00:00,1296.30,91138.97,70.31,3.05,6,11157.00
2019-05-16 00:00:00,1285.00,90218.82,70.21,3.05,6,11257.10
2019-05-17 00:00:00,1274.50,89514.51,70.24,3.05,6,11407.15
2019-05-18 00:00:00,1274.50,89514.51,70.24,3.05,6,11407.15
2019-05-19 00:00:00,1274.50,89514.51,70.24,3.05,6,11407.15
2019-05-20 00:00:00,1276.10,89686.22,70.28,3.05,6,11828.25
2019-05-21 00:00:00,1272.00,89202.18,70.13,3.05,6,11709.10
2019-05-22 00:00:00,1273.60,89314.39,70.13,3.05,6,11737.90
2019-05-23 00:00:00,1284.80,89900.68,69.97,3.05,6,11657.05
2019-05-24 00:00:00,1283.00,89739.43,69.94,3.05,6,11844.10
2019-05-25 00:00:00,1283.00,89739.43,69.94,3.05,6,11844.10
2019-05-26 00:00:00,1283.00,89739.43,69.94,3.05,6,11844.10
2019-05-27 00:00:00,1283.00,88988.88,69.36,3.05,6,11924.75
2019-05-28 00:00:00,1276.50,88997.58,69.72,3.05,6,11928.75
2019-05-29 00:00:00,1280.60,89481.92,69.88,3.05,6,11861.10
2019-05-30 00:00:00,1287.10,89858.89,69.82,3.05,6,11945.90
2019-05-31 00:00:00,1305.80,91379.89,69.98,3.05,6,11922.80
2019-06-01 00:00:00,1305.80,91379.89,69.98,3.18,6,11922.80
2019-06-02 00:00:00,1305.80,91379.89,69.98,3.18,6,11922.80
2019-06-03 00:00:00,1322.70,92019.71,69.57,3.18,6,12088.55
2019-06-04 00:00:00,1323.40,91528.86,69.16,3.18,6,12021.65
2019-06-05 00:00:00,1328.30,92396.55,69.56,3.18,6,12021.65
2019-06-06 00:00:00,1337.60,93130.40,69.63,3.18,5.75,11843.75
